Country	Bank	Item	Year	Value  Flags
"Denmark"	"All banks"	"1. Interest income"	"2009"	145487.936  
"Finland"	"All banks"	"1. Interest income"	"1999"	5280.19  
"Finland"	"All banks"	"1. Interest income"	"2000"	6466.199  
"Finland"	"All banks"	"1. Interest income"	"2001"	7196.204  
"Finland"	"All banks"	"1. Interest income"	"2002"	5924.178  
"Finland"	"All banks"	"1. Interest income"	"2003"	4974.45  
"Finland"	"All banks"	"1. Interest income"	"2004"	5081.886  
"Finland"	"All banks"	"1. Interest income"	"2005"	6335.291  
"Finland"	"All banks"	"1. Interest income"	"2006"	8611.672  
"Finland"	"All banks"	"1. Interest income"	"2007"	11655.541  
"Finland"	"All banks"	"1. Interest income"	"2008"	14543.319  
"Finland"	"All banks"	"1. Interest income"	"2009"	8243.279  
"France"	"All banks"	"1. Interest income"	"1999"	186953.26  
"France"	"All banks"	"1. Interest income"	"2000"	214092.69  
"France"	"All banks"	"1. Interest income"	"2001"	217574  
"France"	"All banks"	"1. Interest income"	"2002"	197574  
"France"	"All banks"	"1. Interest income"	"2003"	173607  
"France"	"All banks"	"1. Interest income"	"2004"	137585.329  
"France"	"All banks"	"1. Interest income"	"2005"	158715.81  
"France"	"All banks"	"1. Interest income"	"2006"	205176.033  
"France"	"All banks"	"1. Interest income"	"2007"	270374.981  
"France"	"All banks"	"1. Interest income"	"2008"	293674.051  
"France"	"All banks"	"1. Interest income"	"2009"	203055.585  
"Germany"	"All banks"	"1. Interest income"	"1999"	250171  
"Germany"	"All banks"	"1. Interest income"	"2000"	295127  
"Germany"	"All banks"	"1. Interest income"	"2001"	304001  
"Germany"	"All banks"	"1. Interest income"	"2002"	270067  
"Germany"	"All banks"	"1. Interest income"	"2003"	241314  
"Germany"	"All banks"	"1. Interest income"	"2004"	233579  
"Germany"	"All banks"	"1. Interest income"	"2005"	256932  
"Germany"	"All banks"	"1. Interest income"	"2006"	279105  
"Germany"	"All banks"	"1. Interest income"	"2007"	321070  
"Germany"	"All banks"	"1. Interest income"	"2008"	327959  
"Germany"	"All banks"	"1. Interest income"	"2009"	232155  
"Ireland"	"All banks"	"1. Interest income"	"1999"	15760.5  
"Ireland"	"All banks"	"1. Interest income"	"2000"	22059.8  
"Ireland"	"All banks"	"1. Interest income"	"2001"	23944.6  
"Ireland"	"All banks"	"1. Interest income"	"2002"	24450  
"Ireland"	"All banks"	"1. Interest income"	"2003"	22831  
"Ireland"	"All banks"	"1. Interest income"	"2004"	26441  
"Ireland"	"All banks"	"1. Interest income"	"2005"	33097.812  
"Ireland"	"All banks"	"1. Interest income"	"2006"	43912.314  
"Ireland"	"All banks"	"1. Interest income"	"2007"	56061.147  
"Ireland"	"All banks"	"1. Interest income"	"2008"	58665.975  
"Ireland"	"All banks"	"1. Interest income"	"2009"	34454.159  
"Italy"	"All banks"	"1. Interest income"	"1999"	73391  
"Italy"	"All banks"	"1. Interest income"	"2000"	89177  
"Italy"	"All banks"	"1. Interest income"	"2001"	100291  
"Italy"	"All banks"	"1. Interest income"	"2002"	90153  
"Italy"	"All banks"	"1. Interest income"	"2003"	83680  
"Italy"	"All banks"	"1. Interest income"	"2004"	82468  
"Italy"	"All banks"	"1. Interest income"	"2005"	89790  
"Italy"	"All banks"	"1. Interest income"	"2006"	106032.31  
"Italy"	"All banks"	"1. Interest income"	"2007"	138000.75  
"Italy"	"All banks"	"1. Interest income"	"2008"	161177.2  
"Italy"	"All banks"	"1. Interest income"	"2009"	104013.7  
"Japan"	"All banks"	"1. Interest income"	"1999"	18736600  
"Japan"	"All banks"	"1. Interest income"	"2000"	16013300  
"Japan"	"All banks"	"1. Interest income"	"2001"	14127200  
"Japan"	"All banks"	"1. Interest income"	"2002"	12062300  
"Japan"	"All banks"	"1. Interest income"	"2003"	10913300  
"Japan"	"All banks"	"1. Interest income"	"2004"	10651764  
"Japan"	"All banks"	"1. Interest income"	"2005"	11609289  
"Japan"	"All banks"	"1. Interest income"	"2006"	13020426  
"Japan"	"All banks"	"1. Interest income"	"2007"	14331640  
"Japan"	"All banks"	"1. Interest income"	"2008"	13229463  
"Korea"	"All banks"	"1. Interest income"	"1999"	44799000  
"Korea"	"All banks"	"1. Interest income"	"2000"	50878000  
"Korea"	"All banks"	"1. Interest income"	"2001"	46195000  
"Korea"	"All banks"	"1. Interest income"	"2002"	48413000  
"Korea"	"All banks"	"1. Interest income"	"2003"	52308000  
"Korea"	"All banks"	"1. Interest income"	"2004"	57194167.162  
"Korea"	"All banks"	"1. Interest income"	"2005"	57877990.72  
"Korea"	"All banks"	"1. Interest income"	"2006"	66188423.748  
"Korea"	"All banks"	"1. Interest income"	"2007"	78982450.79  
"Korea"	"All banks"	"1. Interest income"	"2008"	95380327  
"Korea"	"All banks"	"1. Interest income"	"2009"	84843886.162  
"Luxembourg"	"All banks"	"1. Interest income"	"1999"	37539.01  
"Luxembourg"	"All banks"	"1. Interest income"	"2000"	51628  
"Luxembourg"	"All banks"	"1. Interest income"	"2001"	52790  
"Luxembourg"	"All banks"	"1. Interest income"	"2002"	43169.959  
"Luxembourg"	"All banks"	"1. Interest income"	"2003"	35134.804  
"Luxembourg"	"All banks"	"1. Interest income"	"2004"	30964.185  
"Luxembourg"	"All banks"	"1. Interest income"	"2005"	36248.923  
"Luxembourg"	"All banks"	"1. Interest income"	"2006"	49971.802  
"Luxembourg"	"All banks"	"1. Interest income"	"2007"	62452.171  
"Luxembourg"	"All banks"	"1. Interest income"	"2008"	62483  
"Mexico"	"All banks"	"1. Interest income"	"2000"	386383.959  
"Mexico"	"All banks"	"1. Interest income"	"2001"	312171.531  
"Mexico"	"All banks"	"1. Interest income"	"2002"	252761.059  
"Mexico"	"All banks"	"1. Interest income"	"2003"	243032.205  
"Mexico"	"All banks"	"1. Interest income"	"2004"	273840.869  
"Mexico"	"All banks"	"1. Interest income"	"2005"	381763.73  
"Mexico"	"All banks"	"1. Interest income"	"2006"	388646.796  
"Mexico"	"All banks"	"1. Interest income"	"2007"	442914.031  
"Mexico"	"All banks"	"1. Interest income"	"2008"	510663.907  
"Mexico"	"All banks"	"1. Interest income"	"2009"	464555.573  
"Netherlands"	"All banks"	"1. Interest income"	"1999"	82123.822  
"Netherlands"	"All banks"	"1. Interest income"	"2000"	99407.252  
"Netherlands"	"All banks"	"1. Interest income"	"2001"	99561.455  
"Netherlands"	"All banks"	"1. Interest income"	"2002"	87285.983  
"Netherlands"	"All banks"	"1. Interest income"	"2003"	82462.269  
"Netherlands"	"All banks"	"1. Interest income"	"2004"	85494.773  
"Netherlands"	"All banks"	"1. Interest income"	"2005"	126837.035  
"Netherlands"	"All banks"	"1. Interest income"	"2006"	151714  
"Netherlands"	"All banks"	"1. Interest income"	"2007"	179350  
"Netherlands"	"All banks"	"1. Interest income"	"2008"	189559  
"Netherlands"	"All banks"	"1. Interest income"	"2009"	138401  
"New Zealand"	"All banks"	"1. Interest income"	"1999"	9244  
"New Zealand"	"All banks"	"1. Interest income"	"2000"	11717.96  
"New Zealand"	"All banks"	"1. Interest income"	"2001"	12384.43  
"New Zealand"	"All banks"	"1. Interest income"	"2002"	12963.375  
"New Zealand"	"All banks"	"1. Interest income"	"2003"	13760.823  
"New Zealand"	"All banks"	"1. Interest income"	"2004"	15060.084  
"New Zealand"	"All banks"	"1. Interest income"	"2005"	18155.877  
"New Zealand"	"All banks"	"1. Interest income"	"2006"	21629.287  
"New Zealand"	"All banks"	"1. Interest income"	"2007"	25250.262  
"New Zealand"	"All banks"	"1. Interest income"	"2008"	29153.451  
"New Zealand"	"All banks"	"1. Interest income"	"2009"	21202.892  
"Norway"	"All banks"	"1. Interest income"	"1999"	80706  
"Norway"	"All banks"	"1. Interest income"	"2000"	94305  
"Norway"	"All banks"	"1. Interest income"	"2001"	112413  
"Norway"	"All banks"	"1. Interest income"	"2002"	110762  
"Norway"	"All banks"	"1. Interest income"	"2003"	97490  
"Norway"	"All banks"	"1. Interest income"	"2004"	78444  
"Norway"	"All banks"	"1. Interest income"	"2005"	78106  
"Norway"	"All banks"	"1. Interest income"	"2006"	108132  
"Norway"	"All banks"	"1. Interest income"	"2007"	155642  
"Norway"	"All banks"	"1. Interest income"	"2008"	208732  
"Norway"	"All banks"	"1. Interest income"	"2009"	135717  
"Poland"	"All banks"	"1. Interest income"	"1999"	36508  
"Poland"	"All banks"	"1. Interest income"	"2000"	53084  
"Poland"	"All banks"	"1. Interest income"	"2001"	51409  
"Poland"	"All banks"	"1. Interest income"	"2002"	36306  
"Poland"	"All banks"	"1. Interest income"	"2003"	27780  
"Poland"	"All banks"	"1. Interest income"	"2004"	30330.733  
"Poland"	"All banks"	"1. Interest income"	"2005"	34129.798  
"Poland"	"All banks"	"1. Interest income"	"2006"	35005.883  
"Poland"	"All banks"	"1. Interest income"	"2007"	43170.302  
"Poland"	"All banks"	"1. Interest income"	"2008"	58054.374  
"Poland"	"All banks"	"1. Interest income"	"2009"	55508.016  
"Slovak Republic"	"All banks"	"1. Interest income"	"1999"	2490.992  
"Slovak Republic"	"All banks"	"1. Interest income"	"2000"	2402.812  
"Slovak Republic"	"All banks"	"1. Interest income"	"2001"	2034.045  
"Slovak Republic"	"All banks"	"1. Interest income"	"2002"	2110.798  
"Slovak Republic"	"All banks"	"1. Interest income"	"2003"	1941.509  
"Slovak Republic"	"All banks"	"1. Interest income"	"2004"	1928.938  
"Slovak Republic"	"All banks"	"1. Interest income"	"2005"	1809.648  
"Slovak Republic"	"All banks"	"1. Interest income"	"2006"	2264.835  
"Slovak Republic"	"All banks"	"1. Interest income"	"2007"	2698.105  
"Slovak Republic"	"All banks"	"1. Interest income"	"2008"	3103.796  
"Slovak Republic"	"All banks"	"1. Interest income"	"2009"	2334.75  
"Spain"	"All banks"	"1. Interest income"	"1999"	41442  
"Spain"	"All banks"	"1. Interest income"	"2000"	50419  
"Spain"	"All banks"	"1. Interest income"	"2001"	61765  
"Spain"	"All banks"	"1. Interest income"	"2002"	56950  
"Spain"	"All banks"	"1. Interest income"	"2003"	54341  
"Spain"	"All banks"	"1. Interest income"	"2004"	56242  
"Spain"	"All banks"	"1. Interest income"	"2005"	63570  
"Spain"	"All banks"	"1. Interest income"	"2006"	86962  
"Spain"	"All banks"	"1. Interest income"	"2007"	124850  
"Spain"	"All banks"	"1. Interest income"	"2008"	153688  
"Spain"	"All banks"	"1. Interest income"	"2009"	110891  
"Sweden"	"All banks"	"1. Interest income"	"1999"	113133  
"Sweden"	"All banks"	"1. Interest income"	"2000"	142250  
"Sweden"	"All banks"	"1. Interest income"	"2001"	143227  
"Sweden"	"All banks"	"1. Interest income"	"2002"	132283  
"Sweden"	"All banks"	"1. Interest income"	"2003"	111146  
"Sweden"	"All banks"	"1. Interest income"	"2004"	99267  
"Sweden"	"All banks"	"1. Interest income"	"2005"	116359  
"Sweden"	"All banks"	"1. Interest income"	"2006"	159966  
"Sweden"	"All banks"	"1. Interest income"	"2007"	210432  
"Sweden"	"All banks"	"1. Interest income"	"2008"	271986  
"Sweden"	"All banks"	"1. Interest income"	"2009"	160896  
"Switzerland"	"All banks"	"1. Interest income"	"1999"	66634  
"Switzerland"	"All banks"	"1. Interest income"	"2000"	93277  
"Switzerland"	"All banks"	"1. Interest income"	"2001"	90951  
"Switzerland"	"All banks"	"1. Interest income"	"2002"	68662  
"Switzerland"	"All banks"	"1. Interest income"	"2003"	62230  
"Switzerland"	"All banks"	"1. Interest income"	"2004"	62226  
"Switzerland"	"All banks"	"1. Interest income"	"2005"	83387  
"Switzerland"	"All banks"	"1. Interest income"	"2006"	114815  
"Switzerland"	"All banks"	"1. Interest income"	"2007"	147213  
"Switzerland"	"All banks"	"1. Interest income"	"2008"	114651  
"Switzerland"	"All banks"	"1. Interest income"	"2009"	57071  
"United States"	"All banks"	"1. Interest income"	"1999"	473918.367  
"United States"	"All banks"	"1. Interest income"	"2000"	546189.533  
"United States"	"All banks"	"1. Interest income"	"2001"	521120.825  
"United States"	"All banks"	"1. Interest income"	"2002"	459980.291  
"United States"	"All banks"	"1. Interest income"	"2003"	429379.046  
"United States"	"All banks"	"1. Interest income"	"2004"	440156.094  
"United States"	"All banks"	"1. Interest income"	"2005"	550326.415  
"United States"	"All banks"	"1. Interest income"	"2006"	689131.181  
"United States"	"All banks"	"1. Interest income"	"2007"	769686.397  
"United States"	"All banks"	"1. Interest income"	"2008"	659539.96  
"United States"	"All banks"	"1. Interest income"	"2009"	586014.087  
"Chile"	"All banks"	"1. Interest income"	"1999"	3335095.867  
"Chile"	"All banks"	"1. Interest income"	"2000"	3951785.352  
"Chile"	"All banks"	"1. Interest income"	"2001"	3690454.053  
"Chile"	"All banks"	"1. Interest income"	"2002"	3540940.496  
"Chile"	"All banks"	"1. Interest income"	"2003"	2380237.404  
"Chile"	"All banks"	"1. Interest income"	"2004"	3002856.438  
"Chile"	"All banks"	"1. Interest income"	"2005"	3896205.744  
"Chile"	"All banks"	"1. Interest income"	"2006"	4558101.966  
"Chile"	"All banks"	"1. Interest income"	"2007"	6606266.05  
"Chile"	"All banks"	"1. Interest income"	"2008"	9201865  
"Chile"	"All banks"	"1. Interest income"	"2009"	4809910  
"Estonia"	"All banks"	"1. Interest income"	"1999"	224.464  
"Estonia"	"All banks"	"1. Interest income"	"2000"	239.301  
"Estonia"	"All banks"	"1. Interest income"	"2001"	275.335  
"Estonia"	"All banks"	"1. Interest income"	"2002"	271.851  
"Estonia"	"All banks"	"1. Interest income"	"2003"	268.361  
"Estonia"	"All banks"	"1. Interest income"	"2004"	296.858  
"Estonia"	"All banks"	"1. Interest income"	"2005"	379.043  
"Estonia"	"All banks"	"1. Interest income"	"2006"	596.945  
"Estonia"	"All banks"	"1. Interest income"	"2007"	987.617  
"Estonia"	"All banks"	"1. Interest income"	"2008"	1283.231  
"Estonia"	"All banks"	"1. Interest income"	"2009"	818.19  
"Israel"	"All banks"	"1. Interest income"	"2000"	49826.012  
"Israel"	"All banks"	"1. Interest income"	"2001"	68411.99  
"Israel"	"All banks"	"1. Interest income"	"2002"	43722.876  
"Israel"	"All banks"	"1. Interest income"	"2003"	32487  
"Israel"	"All banks"	"1. Interest income"	"2004"	44689.7  
"Israel"	"All banks"	"1. Interest income"	"2005"	62614.7  
"Israel"	"All banks"	"1. Interest income"	"2006"	34602.7  
"Israel"	"All banks"	"1. Interest income"	"2007"	37644.5  
"Israel"	"All banks"	"1. Interest income"	"2008"	41599.2  
"Israel"	"All banks"	"1. Interest income"	"2009"	46719.5  
"Russian Federation"	"All banks"	"1. Interest income"	"2004"	527477.821  
"Russian Federation"	"All banks"	"1. Interest income"	"2005"	706659.863  
"Russian Federation"	"All banks"	"1. Interest income"	"2006"	977774.179  
"Russian Federation"	"All banks"	"1. Interest income"	"2007"	1418992.063  
"Russian Federation"	"All banks"	"1. Interest income"	"2008"	2191657.949  
"Russian Federation"	"All banks"	"1. Interest income"	"2009"	2761156.024  
"Slovenia"	"All banks"	"1. Interest income"	"2002"	1518.614  
"Slovenia"	"All banks"	"1. Interest income"	"2003"	1436.249  
"Slovenia"	"All banks"	"1. Interest income"	"2004"	1256.59  
"Slovenia"	"All banks"	"1. Interest income"	"2005"	1379.596  
"Slovenia"	"All banks"	"1. Interest income"	"2006"	1629.965  
"Slovenia"	"All banks"	"1. Interest income"	"2007"	2302.512  
"Slovenia"	"All banks"	"1. Interest income"	"2008"	3072.365  
"Slovenia"	"All banks"	"1. Interest income"	"2009"	2484.156  
"Canada"	"Commercial banks"	"1. Interest income"	"1999"	76301  
"Canada"	"Commercial banks"	"1. Interest income"	"2000"	85474  
"Canada"	"Commercial banks"	"1. Interest income"	"2001"	86333  
"Canada"	"Commercial banks"	"1. Interest income"	"2002"	68692  
"Canada"	"Commercial banks"	"1. Interest income"	"2003"	66578  
"Canada"	"Commercial banks"	"1. Interest income"	"2004"	64220  
"Canada"	"Commercial banks"	"1. Interest income"	"2005"	74207  
"Canada"	"Commercial banks"	"1. Interest income"	"2006"	92969  
"Canada"	"Commercial banks"	"1. Interest income"	"2007"	110557  
"Canada"	"Commercial banks"	"1. Interest income"	"2008"	109857  
"Canada"	"Commercial banks"	"1. Interest income"	"2009"	89277  
"Denmark"	"Commercial banks"	"1. Interest income"	"2004"	70228.04  
"Denmark"	"Commercial banks"	"1. Interest income"	"2005"	88787.582  
"Denmark"	"Commercial banks"	"1. Interest income"	"2006"	112239.798  
"Denmark"	"Commercial banks"	"1. Interest income"	"2007"	156582.915  
"Denmark"	"Commercial banks"	"1. Interest income"	"2008"	187682.661  
"Denmark"	"Commercial banks"	"1. Interest income"	"2009"	131398.156  
"Finland"	"Commercial banks"	"1. Interest income"	"1999"	3295.34  
"Finland"	"Commercial banks"	"1. Interest income"	"2000"	4419.356  
"Finland"	"Commercial banks"	"1. Interest income"	"2001"	4952.66  
"Finland"	"Commercial banks"	"1. Interest income"	"2002"	3772.487  
"Finland"	"Commercial banks"	"1. Interest income"	"2003"	3097.517  
"Finland"	"Commercial banks"	"1. Interest income"	"2004"	3382.758  
"Finland"	"Commercial banks"	"1. Interest income"	"2005"	4515.667  
"Finland"	"Commercial banks"	"1. Interest income"	"2006"	6378.631  
"Finland"	"Commercial banks"	"1. Interest income"	"2007"	8504.711  
"Finland"	"Commercial banks"	"1. Interest income"	"2008"	10731.304  
"Finland"	"Commercial banks"	"1. Interest income"	"2009"	5837.372  
"France"	"Commercial banks"	"1. Interest income"	"1999"	101202.21  
"France"	"Commercial banks"	"1. Interest income"	"2000"	129508.18  
"France"	"Commercial banks"	"1. Interest income"	"2001"	131758  
"France"	"Commercial banks"	"1. Interest income"	"2002"	112147  
"France"	"Commercial banks"	"1. Interest income"	"2003"	90115  
"France"	"Commercial banks"	"1. Interest income"	"2004"	94199.508  
"France"	"Commercial banks"	"1. Interest income"	"2005"	115194.068  
"France"	"Commercial banks"	"1. Interest income"	"2006"	153914.613  
"France"	"Commercial banks"	"1. Interest income"	"2007"	209121.173  
"France"	"Commercial banks"	"1. Interest income"	"2008"	223169.834  
"France"	"Commercial banks"	"1. Interest income"	"2009"	143378.532  
"Germany"	"Commercial banks"	"1. Interest income"	"1999"	88921  
"Germany"	"Commercial banks"	"1. Interest income"	"2000"	115872  
"Germany"	"Commercial banks"	"1. Interest income"	"2001"	119427  
"Germany"	"Commercial banks"	"1. Interest income"	"2002"	100568  
"Germany"	"Commercial banks"	"1. Interest income"	"2003"	85126  
"Germany"	"Commercial banks"	"1. Interest income"	"2004"	84372  
"Germany"	"Commercial banks"	"1. Interest income"	"2005"	101525  
"Germany"	"Commercial banks"	"1. Interest income"	"2006"	115615  
"Germany"	"Commercial banks"	"1. Interest income"	"2007"	139372  
"Germany"	"Commercial banks"	"1. Interest income"	"2008"	138952  
"Germany"	"Commercial banks"	"1. Interest income"	"2009"	87672  
"Greece"	"Commercial banks"	"1. Interest income"	"1999"	8493  
"Greece"	"Commercial banks"	"1. Interest income"	"2000"	10794  
"Greece"	"Commercial banks"	"1. Interest income"	"2001"	8675  
"Greece"	"Commercial banks"	"1. Interest income"	"2002"	8225  
"Greece"	"Commercial banks"	"1. Interest income"	"2003"	8039  
"Greece"	"Commercial banks"	"1. Interest income"	"2004"	8247  
"Greece"	"Commercial banks"	"1. Interest income"	"2005"	10098  
"Greece"	"Commercial banks"	"1. Interest income"	"2006"	14263  
"Greece"	"Commercial banks"	"1. Interest income"	"2007"	19077  
"Greece"	"Commercial banks"	"1. Interest income"	"2008"	24289  
"Greece"	"Commercial banks"	"1. Interest income"	"2009"	19239  
"Hungary"	"Commercial banks"	"1. Interest income"	"1999"	850342  
"Hungary"	"Commercial banks"	"1. Interest income"	"2000"	771385  
"Hungary"	"Commercial banks"	"1. Interest income"	"2001"	785162  
"Hungary"	"Commercial banks"	"1. Interest income"	"2002"	843616  
"Hungary"	"Commercial banks"	"1. Interest income"	"2003"	1049679  
"Hungary"	"Commercial banks"	"1. Interest income"	"2004"	1438905  
"Hungary"	"Commercial banks"	"1. Interest income"	"2005"	1388809  
"Hungary"	"Commercial banks"	"1. Interest income"	"2006"	1514894  
"Hungary"	"Commercial banks"	"1. Interest income"	"2007"	1846207  
"Hungary"	"Commercial banks"	"1. Interest income"	"2008"	2196523  
"Hungary"	"Commercial banks"	"1. Interest income"	"2009"	2464386  
"Korea"	"Commercial banks"	"1. Interest income"	"1999"	36077000  
"Korea"	"Commercial banks"	"1. Interest income"	"2000"	40834000  
"Korea"	"Commercial banks"	"1. Interest income"	"2001"	35131000  
"Korea"	"Commercial banks"	"1. Interest income"	"2002"	36970000  
"Korea"	"Commercial banks"	"1. Interest income"	"2003"	40548000  
"Korea"	"Commercial banks"	"1. Interest income"	"2004"	40683000  
"Korea"	"Commercial banks"	"1. Interest income"	"2005"	40916000  
"Korea"	"Commercial banks"	"1. Interest income"	"2006"	45848000  
"Korea"	"Commercial banks"	"1. Interest income"	"2007"	55095000  
"Korea"	"Commercial banks"	"1. Interest income"	"2008"	67051000  
"Korea"	"Commercial banks"	"1. Interest income"	"2009"	57589481  
"Mexico"	"Commercial banks"	"1. Interest income"	"1999"	322242  
"Mexico"	"Commercial banks"	"1. Interest income"	"2000"	313459.059  
"Mexico"	"Commercial banks"	"1. Interest income"	"2001"	250008.767  
"Mexico"	"Commercial banks"	"1. Interest income"	"2002"	198784.022  
"Mexico"	"Commercial banks"	"1. Interest income"	"2003"	186517.259  
"Mexico"	"Commercial banks"	"1. Interest income"	"2004"	215583.287  
"Mexico"	"Commercial banks"	"1. Interest income"	"2005"	301408.02  
"Mexico"	"Commercial banks"	"1. Interest income"	"2006"	321014.58  
"Mexico"	"Commercial banks"	"1. Interest income"	"2007"	377397.03  
"Mexico"	"Commercial banks"	"1. Interest income"	"2008"	440144.535  
"Mexico"	"Commercial banks"	"1. Interest income"	"2009"	395915.562  
"Norway"	"Commercial banks"	"1. Interest income"	"1999"	45709  
"Norway"	"Commercial banks"	"1. Interest income"	"2000"	53487  
"Norway"	"Commercial banks"	"1. Interest income"	"2001"	62967  
"Norway"	"Commercial banks"	"1. Interest income"	"2002"	59406  
"Norway"	"Commercial banks"	"1. Interest income"	"2003"	53243  
"Poland"	"Commercial banks"	"1. Interest income"	"1999"	34426  
"Poland"	"Commercial banks"	"1. Interest income"	"2000"	50237  
"Poland"	"Commercial banks"	"1. Interest income"	"2001"	48197  
"Poland"	"Commercial banks"	"1. Interest income"	"2002"	33831  
"Poland"	"Commercial banks"	"1. Interest income"	"2003"	25778  
"Poland"	"Commercial banks"	"1. Interest income"	"2004"	28121.137  
"Poland"	"Commercial banks"	"1. Interest income"	"2005"	31645.404  
"Poland"	"Commercial banks"	"1. Interest income"	"2006"	32526.232  
"Poland"	"Commercial banks"	"1. Interest income"	"2007"	40180.111  
"Poland"	"Commercial banks"	"1. Interest income"	"2008"	54007.775  
"Poland"	"Commercial banks"	"1. Interest income"	"2009"	51636.71  
"Portugal"	"Commercial banks"	"1. Interest income"	"1999"	12428  
"Portugal"	"Commercial banks"	"1. Interest income"	"2000"	15799  
"Portugal"	"Commercial banks"	"1. Interest income"	"2001"	17519  
"Portugal"	"Commercial banks"	"1. Interest income"	"2002"	15142.577  
"Portugal"	"Commercial banks"	"1. Interest income"	"2003"	14298.938  
"Portugal"	"Commercial banks"	"1. Interest income"	"2004"	13292.421  
"Portugal"	"Commercial banks"	"1. Interest income"	"2005"	15255.528  
"Portugal"	"Commercial banks"	"1. Interest income"	"2006"	18949.546  
"Portugal"	"Commercial banks"	"1. Interest income"	"2007"	24519.033  
"Portugal"	"Commercial banks"	"1. Interest income"	"2008"	29789.735  
"Portugal"	"Commercial banks"	"1. Interest income"	"2009"	21394.443  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"1999"	2107.43  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2000"	2048.495  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2001"	1724.903  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2002"	1802.773  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2003"	1590.922  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2004"	1593.565  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2005"	1455.196  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2006"	1790.156  
"Slovak Republic"	"Commercial banks"	"1. Interest income"	"2007"	2372.614  
